# Raw ESP32 log. Lines start with IMU, or GPS,
# Recommended: keep the robot stationary while logging.
IMU,1152641,-0.014365,-0.012570,9.874885,0.003464,-0.001466,-0.000400
IMU,1152651,0.000000,-0.000599,9.805453,-0.001998,-0.001865,-0.002531
IMU,1152661,-0.035913,0.017957,9.776723,-0.000799,-0.000666,-0.000133
IMU,1152671,0.004190,0.013168,9.774328,-0.001332,0.001865,0.000266
IMU,1152681,-0.038307,-0.036512,9.803059,-0.003064,0.000666,0.001332
IMU,1152691,-0.031125,-0.019752,9.858126,0.000133,-0.000400,0.004130
IMU,1152701,-0.014365,-0.000599,9.836577,0.003064,0.000799,-0.004397
IMU,1152711,-0.074220,0.029928,9.762358,0.000133,-0.001066,0.001865
IMU,1152721,-0.016759,-0.053271,9.824607,0.003864,-0.003730,0.001599
IMU,1152731,-0.021548,-0.017358,9.834184,0.000000,0.001466,-0.001599
IMU,1152741,-0.009577,-0.005387,9.824607,0.000000,0.004130,0.000666
IMU,1152751,-0.004788,-0.029329,9.810242,0.001332,0.002665,0.000133
IMU,1152761,-0.007183,0.046687,9.769540,-0.001066,0.002531,-0.003730
IMU,1152771,-0.055067,-0.002993,9.738416,-0.000666,-0.002531,0.000933
IMU,1152781,-0.031125,0.008380,9.831789,0.000799,0.000266,-0.001732
IMU,1152791,-0.047884,-0.038906,9.858126,0.001466,-0.006662,-0.000400
IMU,1152801,0.001796,-0.046088,9.843760,-0.000266,-0.002665,0.001332
IMU,1152811,0.008978,-0.017358,9.755175,-0.003864,0.000000,-0.000933
IMU,1152821,-0.035913,-0.012570,9.795877,-0.001732,-0.000266,-0.002798
IMU,1152831,-0.038307,-0.017358,9.822212,-0.000799,0.000266,0.000666
IMU,1152841,0.001796,-0.007781,9.810242,0.002265,-0.004530,0.001332
IMU,1152851,-0.045490,-0.041300,9.860519,0.004263,-0.002398,0.001865
IMU,1152861,-0.040701,-0.026935,9.791088,-0.000266,-0.000666,-0.000666
IMU,1152871,-0.059855,-0.000599,9.822212,0.002265,-0.001599,-0.000133
IMU,1152881,-0.031125,-0.012570,9.810242,-0.000799,-0.000933,0.000666
IMU,1152891,-0.047884,0.003591,9.848549,0.003997,0.006528,0.000666
IMU,1152901,-0.026336,-0.017358,9.846154,-0.000133,0.004663,0.000133
IMU,1152911,-0.021548,-0.005387,9.791088,0.001199,-0.001466,0.001599
IMU,1152921,-0.035913,0.027533,9.800665,-0.001066,-0.004530,0.002665
IMU,1152931,-0.038307,-0.005387,9.795877,-0.000933,-0.005329,-0.002665
IMU,1152941,-0.028730,-0.014964,9.884461,-0.000266,0.002531,0.001332
IMU,1152951,-0.004788,-0.005387,9.915586,0.000000,-0.002665,0.000666
IMU,1152961,0.013767,-0.043694,9.786300,0.000266,-0.002265,-0.002531
IMU,1152971,-0.031125,-0.017358,9.738416,0.000400,0.003864,0.001199
IMU,1152981,-0.064643,-0.019752,9.860519,0.000533,0.001466,0.000000
IMU,1152991,0.004190,0.008380,9.831789,0.003464,0.001466,0.001466
IMU,1153001,0.032920,-0.000599,9.815030,0.001066,-0.003997,-0.003997
GPS,1153001,43.645270,-79.437045,111.40,0.26,3.52,5,1
IMU,1153011,0.013767,-0.010175,9.805453,0.000400,-0.002931,-0.000133
IMU,1153021,-0.031125,0.010774,9.781511,0.000266,0.001599,0.004263
IMU,1153031,-0.035913,-0.043694,9.853337,0.001599,-0.000400,-0.003198
IMU,1153041,-0.002394,-0.007781,9.843760,-0.002665,-0.000266,0.004530
IMU,1153051,-0.021548,-0.007781,9.896433,-0.000666,0.001199,-0.000799
IMU,1153061,-0.011971,-0.043694,9.712079,0.000000,0.002665,-0.002398
IMU,1153071,-0.038307,-0.036512,9.733627,0.003331,-0.002665,0.001865
IMU,1153081,-0.028730,-0.007781,9.829395,0.001332,-0.001466,-0.001199
IMU,1153091,0.000000,-0.012570,9.810242,-0.000133,-0.004263,0.001066
IMU,1153101,-0.035913,0.010774,9.827001,0.000533,-0.000133,-0.001865
IMU,1153111,-0.023942,0.003591,9.736021,-0.001599,-0.000133,0.000533
IMU,1153121,0.011372,-0.019752,9.819818,-0.003464,0.003331,-0.002398
IMU,1153131,0.006584,-0.007781,9.807847,0.003331,-0.002265,0.002132
IMU,1153141,-0.004788,-0.029329,9.862914,-0.001466,-0.005995,0.000533
IMU,1153151,-0.011971,-0.010175,9.762358,0.001599,-0.003864,-0.000533
IMU,1153161,-0.016759,-0.012570,9.795877,0.002665,-0.005729,-0.001998
IMU,1153171,-0.038307,-0.000599,9.774328,0.003730,-0.000533,-0.000533
