
# IMU Configuration complete!
# IMU + GPS streaming started
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
IMU,952,-0.176038,-0.228363,9.926554,0.001705,0.000479,-0.002397,123.589584,1003.799072,-980.320251
IMU,965,-0.105098,-0.268983,10.016439,0.000107,0.001811,0.004528,79.563622,950.999268,-936.258789
IMU,969,-0.149215,-0.213244,9.914425,-0.000293,-0.001518,-0.001065,79.563622,950.999268,-936.258789
IMU,983,-0.075858,-0.196174,9.945725,-0.004421,0.001145,-0.001465,107.274078,1002.299805,-922.731689
IMU,986,-0.114848,-0.198900,9.950386,-0.004022,-0.002051,0.000799,106.529518,952.464722,-979.506897
IMU,1000,-0.098146,-0.257673,9.932215,-0.003622,-0.000852,-0.000666,76.210899,1041.281006,-999.874207
GPS,1000,nan,nan,nan,nan,nan,0,0
IMU,1004,-0.107841,-0.240378,9.927080,0.005300,0.001545,-0.003329,76.210899,1041.281006,-999.874207
IMU,1018,-0.083433,-0.222845,9.917302,0.000240,-0.000586,-0.002264,150.576828,1016.971619,-971.023376
IMU,1022,-0.085911,-0.260284,9.944327,0.001571,0.002211,-0.000533,150.576828,1016.971619,-971.023376
IMU,1035,-0.119812,-0.223659,9.955572,0.000107,0.000080,0.000266,60.328369,1047.561279,-1014.288025
IMU,1039,-0.117575,-0.273041,9.961198,0.002237,0.000746,0.005726,60.328369,1047.561279,-1014.288025
IMU,1053,-0.124420,-0.222105,10.008371,-0.004421,0.003010,-0.001065,60.328369,1047.561279,-1014.288025
IMU,1056,-0.149220,-0.253300,9.951113,0.000639,0.002610,0.000000,91.659348,1009.801331,-999.466248
IMU,1070,-0.115022,-0.270928,9.982794,-0.003755,-0.002983,0.000533,92.464600,1042.498413,-1043.081055
IMU,1074,-0.156432,-0.231143,9.950714,-0.003090,0.001412,-0.003729,91.369835,991.066223,-1018.359985
IMU,1088,-0.195365,-0.226553,9.960059,-0.001225,-0.002717,-0.000266,96.333427,971.985291,-1013.304810
IMU,1091,-0.156318,-0.224029,9.967413,0.000373,0.000879,-0.001864,96.333427,971.985291,-1013.304810
IMU,1105,-0.139174,-0.219222,9.979427,0.000107,-0.003649,-0.000533,58.076679,938.608337,-979.133606
IMU,1109,-0.105360,-0.225492,9.922044,-0.001891,0.000213,0.000400,58.076679,938.608337,-979.133606
IMU,1123,-0.124612,-0.183868,9.933278,0.000107,-0.005913,-0.002264,102.847206,1041.243164,-966.419861
IMU,1126,-0.149069,-0.183698,9.916342,0.004102,-0.002583,0.002264,102.847206,1041.243164,-966.419861
IMU,1140,-0.141721,-0.186291,9.926029,-0.000826,-0.002983,-0.004661,102.847206,1041.243164,-966.419861
IMU,1144,-0.114940,-0.201083,9.933607,-0.002424,-0.002184,0.004128,107.149368,984.316284,-979.976624
IMU,1158,-0.187848,-0.197174,9.974026,-0.002690,-0.003782,0.001465,48.604549,1007.870056,-951.362427
IMU,1161,-0.161470,-0.228094,9.914609,-0.000160,0.000213,0.002264,48.604549,1007.870056,-951.362427
IMU,1175,-0.151397,-0.219156,9.972160,-0.000959,0.001412,-0.002131,123.878723,1016.727600,-990.096008
IMU,1189,-0.124680,-0.196156,9.931077,0.000240,-0.002983,0.001332,92.548111,1060.294067,-976.248352
IMU,1193,-0.110007,-0.198756,9.943201,0.000373,0.003010,0.003729,92.548111,1060.294067,-976.248352
IMU,1207,-0.129438,-0.201594,9.959969,-0.003090,0.000080,0.000666,75.818764,1027.882812,-966.128967
IMU,1210,-0.153875,-0.181456,9.928293,-0.002290,0.004208,-0.000533,75.818764,1027.882812,-966.128967
IMU,1224,-0.205219,-0.233752,9.945717,0.002370,0.004075,-0.000400,103.363312,1061.011719,-1000.259033
IMU,1228,-0.153974,-0.218683,9.943316,-0.000826,-0.005114,-0.000666,103.363312,1061.011719,-1000.259033
IMU,1242,-0.154065,-0.228384,9.933866,0.000639,0.004474,0.002397,75.116142,989.848816,-975.153076
IMU,1245,-0.168078,-0.140416,9.975593,-0.004688,-0.001651,-0.002530,91.081436,989.750916,-951.245361
IMU,1259,-0.129712,-0.225685,9.926733,-0.004421,0.000346,0.002663,106.322777,939.912048,-988.906799
IMU,1263,-0.110060,-0.233638,9.965392,-0.006552,-0.002450,-0.001065,106.322777,939.912048,-988.906799
IMU,1277,-0.102819,-0.218326,9.936351,-0.003356,-0.002583,-0.002530,102.082039,991.314148,-1018.401184
IMU,1280,-0.119687,-0.204056,9.962458,-0.000293,-0.002450,0.006259,102.082039,991.314148,-1018.401184
IMU,1294,-0.117292,-0.231449,9.979733,-0.001891,0.000479,0.003995,80.947525,1015.359985,-970.755554
IMU,1298,-0.068756,-0.255517,9.958744,-0.001092,0.002876,0.003462,80.947525,1015.359985,-970.755554
IMU,1312,-0.115150,-0.267977,9.953920,0.002104,-0.000586,0.002797,80.947525,1015.359985,-970.755554
IMU,1315,-0.146675,-0.201067,9.923845,-0.003090,-0.002450,-0.001864,69.512466,982.790833,-946.275146
IMU,1329,-0.148961,-0.211627,9.964843,-0.000293,0.000080,-0.002930,44.321869,1047.471191,-1028.607910
IMU,1333,-0.222212,-0.234073,9.960052,-0.001225,-0.000852,-0.003063,107.769218,1016.167786,-980.446350
IMU,1347,-0.178227,-0.191673,9.942755,-0.001358,0.001944,0.007857,75.901161,1028.258545,-985.304565
IMU,1350,-0.099989,-0.207159,10.005841,-0.002157,0.003143,0.001199,75.901161,1028.258545,-985.304565
IMU,1364,-0.127122,-0.241235,9.972640,-0.003622,0.000746,0.001998,102.268555,1009.579529,-975.537903
IMU,1368,-0.146568,-0.221478,9.965015,0.000107,0.001412,0.000400,102.268555,1009.579529,-975.537903
IMU,1381,-0.163514,-0.229479,9.996292,0.002903,-0.004581,0.000000,49.120659,1027.638672,-985.201599
IMU,1385,-0.117420,-0.225992,9.948416,-0.003755,0.001012,0.001332,129.007843,1010.011475,-966.053101
IMU,1399,-0.163858,-0.250821,9.946197,0.001971,-0.001918,-0.001465,129.007843,1010.011475,-966.053101
IMU,1403,-0.153963,-0.211205,9.938389,-0.001092,0.002477,-0.000400,129.007843,1010.011475,-966.053101
IMU,1416,-0.119872,-0.210927,9.931343,-0.004421,0.000080,-0.003995,107.562477,1003.615112,-989.846252
IMU,1420,-0.134585,-0.240743,9.941369,-0.000826,0.001944,0.004794,107.562477,1003.615112,-989.846252
IMU,1434,-0.144062,-0.211686,9.969671,-0.002157,-0.002317,-0.002397,65.188957,1028.010620,-985.263367
IMU,1437,-0.120109,-0.250175,9.919975,0.000506,-0.005513,-0.001864,65.188957,1028.010620,-985.263367
IMU,1451,-0.141983,-0.217940,9.902526,-0.000826,-0.004714,-0.005060,107.810417,1016.355713,-990.034180
IMU,1455,-0.146793,-0.260766,9.956051,-0.001491,-0.000985,-0.003196,150.576828,1016.971619,-971.023376
IMU,1469,-0.170717,-0.187314,9.978751,-0.000559,-0.002717,-0.000266,75.157341,990.036682,-984.740906
IMU,1472,-0.146476,-0.216790,9.979352,0.000107,0.000080,0.002397,63.267239,926.367493,-998.141907
IMU,1486,-0.144116,-0.239050,9.984532,0.001305,0.002610,0.003329,63.267239,926.367493,-998.141907
IMU,1490,-0.141829,-0.238513,9.953308,-0.001225,-0.002051,-0.000533,63.267239,926.367493,-998.141907
IMU,1504,-0.149040,-0.221368,9.957796,0.001705,-0.003915,0.002397,48.707546,1008.339844,-975.331909
IMU,1507,-0.180670,-0.229234,9.976989,-0.000692,0.000613,-0.003063,48.707546,1008.339844,-975.331909
IMU,1521,-0.090334,-0.186743,9.967120,0.000373,0.004075,0.003862,108.863976,1067.600098,-1005.167480
